Postcode,Accommodation and food services,Arts and recreation services,Financial and insurance services,Health care and social assistance,Information media and telecommunications
2601,5,0,3,0,0
2602,11,9,18,22,5
2914,9,4,23,7,3
2614,3,0,10,18,7
2906,4,3,10,0,11
2617,304,88,302,298,62
2905,3,0,8,7,9
2612,35,7,23,19,15
2913,7,0,3,5,13
2611,3,4,25,23,0
2615,7,3,5,4,17
2606,3,4,6,14,0
2600,148,12,125,89,22
2911,6,0,7,15,30
2605,5,4,21,47,11
2904,0,4,17,16,3
2607,10,3,26,24,23
2603,14,4,50,44,5
2609,66,12,113,11,16
2618,0,3,8,9,115
2072,14,0,21,7,10
2900,26,3,10,29,172
2912,233,75,270,167,20
2620,3,0,5,192,186
2706,6,0,21,26,5
2902,26,8,58,37,6
2783,0,0,0,0,0
2604,15,8,26,5,22
2903,4,0,3,25,7
