Year,Region,Postcode,Data Item,Sum of Value
2014,ACT - East,,Number of Businesses by Industry - Accommodation and food services (no.),58
2014,ACT - East,,Number of Businesses by Industry - Administrative and support services (no.),58
2014,ACT - East,,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",17
2014,ACT - East,,Number of Businesses by Industry - Arts and recreation services (no.),7
2014,ACT - East,,Number of Businesses by Industry - Construction (no.),207
2014,ACT - East,,Number of Businesses by Industry - Currently unknown (no.),28
2014,ACT - East,,Number of Businesses by Industry - Education and training (no.),13
2014,ACT - East,,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",6
2014,ACT - East,,Number of Businesses by Industry - Financial and insurance services (no.),96
2014,ACT - East,,Number of Businesses by Industry - Health care and social assistance (no.),8
2014,ACT - East,,Number of Businesses by Industry - Information media and telecommunications (no.),15
2014,ACT - East,,Number of Businesses by Industry - Manufacturing (no.),87
2014,ACT - East,,Number of Businesses by Industry - Mining (no.),3
2014,ACT - East,,Number of Businesses by Industry - Other services (no.),86
2014,ACT - East,,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",180
2014,ACT - East,,Number of Businesses by Industry - Public administration and safety (no.),8
2014,ACT - East,,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",205
2014,ACT - East,,Number of Businesses by Industry - Retail trade (no.),217
2014,ACT - East,,Number of Businesses by Industry - Total (no.),1415
2014,ACT - East,,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",20
2014,ACT - East,,Number of Businesses by Industry - Wholesale trade (no.),96
2015,ACT - East,,Number of Businesses by Industry - Accommodation and food services (no.),59
2015,ACT - East,,Number of Businesses by Industry - Administrative and support services (no.),60
2015,ACT - East,,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",13
2015,ACT - East,,Number of Businesses by Industry - Arts and recreation services (no.),8
2015,ACT - East,,Number of Businesses by Industry - Construction (no.),214
2015,ACT - East,,Number of Businesses by Industry - Currently unknown (no.),30
2015,ACT - East,,Number of Businesses by Industry - Education and training (no.),11
2015,ACT - East,,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",5
2015,ACT - East,,Number of Businesses by Industry - Financial and insurance services (no.),99
2015,ACT - East,,Number of Businesses by Industry - Health care and social assistance (no.),7
2015,ACT - East,,Number of Businesses by Industry - Information media and telecommunications (no.),14
2015,ACT - East,,Number of Businesses by Industry - Manufacturing (no.),87
2015,ACT - East,,Number of Businesses by Industry - Mining (no.),3
