Postcode,Total
800,6470
810,33301
812,18881
820,19447
822,25552
828,1210
829,1838
830,18200
832,15568
835,5135
836,7759
837,414
838,812
840,359
841,639
845,508
846,356
847,314
850,8155
852,8307
853,848
854,872
860,2999
862,765
870,19640
880,5208
885,868
886,1082
2000,27417
2006,1255
2007,8846
2008,11718
2009,12802
2010,27727
2011,21178
2015,9937
2016,13216
2017,24693
2018,17031
2019,10819
2020,14751
2021,15309
2022,12496
2023,10719
2024,11068
2025,7404
2026,32486
2027,8193
2028,4640
2029,9948
2030,14080
2031,34740
2032,16700
2033,11567
2034,20715
2035,34479
2036,30405
2037,16110
2038,9452
2039,8717
2040,22239
2041,15682
2042,19124
2043,8029
2044,7831
2045,6458
2046,26819
2047,11943
2048,7947
2049,11288
2050,8981
2052,3428
2060,13974
2061,5954
2062,7003
2063,6352
2064,9530
2065,30117
2066,31622
2067,26390
2068,16812
2069,14253
2070,13500
2071,13541
2072,7664
2073,16349
2074,22243
2075,20455
2076,24650
2077,37796
2079,7085
2080,1695
2081,5375
2082,5395
2083,1512
2084,3612
2085,11627
2086,13397
2087,12801
2088,28469
2089,11909
2090,13717
2092,7144
2093,22873
2094,5833
2095,15856
2096,14650
2097,15519
2099,39925
2100,20903
2101,19412
2102,7493
2103,10669
2104,3621
2105,1849
2106,9316
2107,14684
2108,1671
2110,10364
2111,14417
2112,32854
2113,18362
2114,24062
2115,10762
2116,6638
2117,21307
2118,24354
2119,11654
2120,20214
2121,28210
2122,31174
2125,16373
2126,18770
2127,14540
2128,4161
2130,7296
2131,23847
2132,10601
2133,11026
2134,16027
2135,25240
2136,7382
2137,26504
2138,20020
2140,16147
2141,28680
2142,26284
2143,8936
2144,37379
2145,79232
2146,17469
2147,36353
2148,63062
2150,31492
2151,21319
2152,11208
2153,56564
2154,39582
2155,55448
2156,12930
2157,3736
2158,8589
2159,4978
2160,35965
2161,31433
2162,18633
2163,9591
2164,19630
2165,42438
2166,52758
2167,9638
2168,43451
2170,105462
2171,34863
2172,2779
2173,14430
2174,2264
2175,1857
2176,47796
2177,15985
2178,4230
2179,6525
2190,25554
2191,6330
2192,12715
2193,15267
2194,24538
2195,27148
2196,31803
2197,9060
2198,9042
2199,18008
2200,43697
2203,13697
2204,26501
2205,19444
2206,19418
2207,28527
2208,12443
2209,15766
2210,30599
2211,16845
2212,15839
2213,21786
2214,3958
2216,28049
2217,26843
2218,16430
2219,13191
2220,32493
2221,16491
2222,12782
2223,20909
2224,14211
2225,5401
2226,12505
2227,14628
2228,18358
2229,28723
2230,28833
2231,2260
2232,32867
2233,29497
2234,30585
2250,67198
2251,32699
2256,15594
2257,29017
2258,5161
2259,59514
2260,23411
2261,52768
2262,20832
2263,24270
2264,14236
2265,5809
2267,2768
2278,2571
2280,26685
2281,14277
2282,14770
2283,23290
2284,10497
2285,30720
2286,3884
2287,36387
2289,19114
2290,33415
2291,13417
2292,2455
2293,2504
2294,1935
2295,6929
2296,1891
2297,1681
2298,9500
2299,11208
2300,10586
2302,559
2303,9142
2304,15160
2305,12494
2306,3373
2307,3901
2308,1332
2311,884
2312,1475
2315,14655
2316,5847
2317,6239
2318,12155
2319,6668
2320,34557
2321,14624
2322,18466
2323,25718
